[pure] 청크 5,335 / 캐시 0 / 항법 48 / API 대상 5,287 → 배치 265개 (batch=20, workers=12, model=sonnet)
   20/5,287  0.5/s  ~185.9분 남음  calls=1 fails=0 in=4 out=1,491 cache(c/r)=17,455/59,265 cost=$0.14
   40/5,287  0.9/s  ~94.9분 남음  calls=2 fails=0 in=8 out=2,627 cache(c/r)=38,506/122,087 cost=$0.31
   60/5,287  1.2/s  ~71.0분 남음  calls=3 fails=0 in=10 out=4,317 cache(c/r)=57,572/143,089 cost=$0.45
   80/5,287  1.6/s  ~53.7분 남음  calls=4 fails=0 in=12 out=5,934 cache(c/r)=75,351/164,091 cost=$0.59
   100/5,287  1.9/s  ~45.9분 남음  calls=5 fails=0 in=14 out=7,731 cache(c/r)=94,365/185,093 cost=$0.74
   120/5,287  2.3/s  ~38.1분 남음  calls=6 fails=0 in=18 out=9,376 cache(c/r)=111,943/244,511 cost=$0.89
   140/5,287  2.6/s  ~32.9분 남음  calls=7 fails=0 in=22 out=11,103 cache(c/r)=131,025/305,443 cost=$1.04
   160/5,287  2.9/s  ~29.2분 남음  calls=8 fails=0 in=24 out=12,855 cache(c/r)=148,880/326,445 cost=$1.18
   180/5,287  3.2/s  ~26.7분 남음  calls=9 fails=0 in=26 out=14,727 cache(c/r)=167,304/347,447 cost=$1.33
   200/5,287  3.5/s  ~24.3분 남음  calls=10 fails=0 in=30 out=16,925 cache(c/r)=184,004/405,981 cost=$1.48
   220/5,287  3.7/s  ~22.8분 남음  calls=11 fails=0 in=34 out=19,183 cache(c/r)=203,959/467,771 cost=$1.65
   240/5,287  3.9/s  ~21.3분 남음  calls=12 fails=0 in=40 out=21,029 cache(c/r)=219,803/561,946 cost=$1.80
   260/5,287  3.7/s  ~22.9분 남음  calls=13 fails=0 in=42 out=22,901 cache(c/r)=240,084/582,948 cost=$1.96
   280/5,287  3.5/s  ~23.9분 남음  calls=14 fails=0 in=44 out=25,126 cache(c/r)=259,766/603,950 cost=$2.12
   300/5,287  3.7/s  ~22.6분 남음  calls=15 fails=0 in=48 out=25,994 cache(c/r)=275,437/661,004 cost=$2.25
   320/5,287  3.6/s  ~23.1분 남음  calls=16 fails=0 in=50 out=28,265 cache(c/r)=292,864/682,006 cost=$2.41
   340/5,287  3.7/s  ~22.4분 남음  calls=17 fails=0 in=52 out=30,147 cache(c/r)=309,219/703,008 cost=$2.56
   360/5,287  3.7/s  ~22.1분 남음  calls=18 fails=0 in=56 out=32,104 cache(c/r)=328,867/764,556 cost=$2.72
   380/5,287  3.9/s  ~20.9분 남음  calls=19 fails=0 in=58 out=34,424 cache(c/r)=346,637/785,558 cost=$2.88
   400/5,287  4.1/s  ~19.8분 남음  calls=20 fails=0 in=62 out=36,485 cache(c/r)=363,845/844,641 cost=$3.05
   420/5,287  4.3/s  ~19.1분 남음  calls=21 fails=0 in=64 out=38,644 cache(c/r)=380,653/865,643 cost=$3.20
   440/5,287  4.4/s  ~18.2분 남음  calls=22 fails=0 in=66 out=40,779 cache(c/r)=398,281/886,645 cost=$3.36
   460/5,287  4.6/s  ~17.7분 남음  calls=23 fails=0 in=70 out=42,466 cache(c/r)=414,826/944,619 cost=$3.51
   480/5,287  4.7/s  ~17.0분 남음  calls=24 fails=0 in=74 out=44,421 cache(c/r)=431,462/1,002,678 cost=$3.67
   500/5,287  4.8/s  ~16.7분 남음  calls=25 fails=0 in=78 out=46,911 cache(c/r)=448,910/1,061,214 cost=$3.84
   520/5,287  4.6/s  ~17.1분 남음  calls=26 fails=0 in=80 out=48,871 cache(c/r)=465,876/1,082,216 cost=$3.99
   540/5,287  4.8/s  ~16.4분 남음  calls=27 fails=0 in=82 out=50,925 cache(c/r)=483,495/1,103,218 cost=$4.15
   560/5,287  4.9/s  ~16.0분 남음  calls=28 fails=0 in=84 out=52,778 cache(c/r)=501,552/1,124,220 cost=$4.31
   580/5,287  4.9/s  ~16.1분 남음  calls=29 fails=0 in=86 out=54,601 cache(c/r)=518,870/1,145,222 cost=$4.46
   600/5,287  4.6/s  ~16.8분 남음  calls=30 fails=0 in=88 out=56,535 cache(c/r)=536,056/1,166,224 cost=$4.61
   620/5,287  4.8/s  ~16.4분 남음  calls=31 fails=0 in=90 out=58,481 cache(c/r)=553,105/1,187,226 cost=$4.76
   640/5,287  4.8/s  ~16.2분 남음  calls=32 fails=0 in=92 out=60,431 cache(c/r)=571,044/1,208,228 cost=$4.92
