[ctx] 청크 5,335 / 캐시 0 / 항법 48 / API 대상 5,287 → 배치 265개 (batch=20, workers=12, model=sonnet)
   20/5,287  0.5/s  ~183.1분 남음  calls=1 fails=0 in=4 out=1,113 cache(c/r)=24,346/66,185 cost=$0.18
   40/5,287  0.9/s  ~95.1분 남음  calls=2 fails=0 in=6 out=2,479 cache(c/r)=43,178/87,187 cost=$0.32
   60/5,287  1.4/s  ~63.1분 남음  calls=3 fails=0 in=8 out=3,728 cache(c/r)=63,088/108,189 cost=$0.47
   80/5,287  1.8/s  ~47.9분 남음  calls=4 fails=0 in=12 out=5,319 cache(c/r)=84,276/171,187 cost=$0.64
   100/5,287  2.1/s  ~40.7분 남음  calls=5 fails=0 in=16 out=7,136 cache(c/r)=106,521/235,290 cost=$0.82
   120/5,287  2.4/s  ~35.9분 남음  calls=6 fails=0 in=18 out=8,847 cache(c/r)=127,944/256,292 cost=$0.98
   140/5,287  2.8/s  ~31.1분 남음  calls=7 fails=0 in=20 out=10,618 cache(c/r)=148,062/277,294 cost=$1.13
   160/5,287  3.1/s  ~27.4분 남음  calls=8 fails=0 in=24 out=12,681 cache(c/r)=170,896/342,000 cost=$1.32
   180/5,287  3.3/s  ~26.0분 남음  calls=9 fails=0 in=26 out=14,597 cache(c/r)=193,657/363,002 cost=$1.49
   200/5,287  3.6/s  ~23.9분 남음  calls=10 fails=0 in=28 out=16,490 cache(c/r)=215,326/384,004 cost=$1.65
   220/5,287  3.9/s  ~21.6분 남음  calls=11 fails=0 in=32 out=18,427 cache(c/r)=237,003/447,532 cost=$1.83
   240/5,287  4.3/s  ~19.8분 남음  calls=12 fails=0 in=34 out=20,115 cache(c/r)=258,976/468,534 cost=$2.00
   260/5,287  3.4/s  ~24.8분 남음  calls=13 fails=0 in=36 out=21,991 cache(c/r)=282,108/489,536 cost=$2.17
   280/5,287  3.6/s  ~23.1분 남음  calls=14 fails=0 in=40 out=24,252 cache(c/r)=306,406/555,234 cost=$2.37
   300/5,287  3.9/s  ~21.5분 남음  calls=15 fails=0 in=44 out=26,329 cache(c/r)=329,581/620,283 cost=$2.56
   320/5,287  3.8/s  ~21.8분 남음  calls=16 fails=0 in=48 out=27,948 cache(c/r)=348,354/680,333 cost=$2.73
