e23721 j05673 (간편)3대질병간병인사용입원특약 | 제2-12조 주계약 약관 규정의 준용 | score=0.087254
e24688 j05891 (간편)간병인사용입원특약 | 제2-12조 주계약 약관 규정의 준용 | score=0.0857141
e24287 j05791 (간편)간병인사용입원특약 | 제2-12조 주계약 약관 규정의 준용 | score=0.0736069
e24060 j05739 (간편)3대질병간병인사용입원특약 | 제2-12조 주계약 약관 규정의 준용 | score=0.0631926
e24585 j05878 (간편)간병인사용입원특약 | 제2-3조 보험금 지급에 관한 세부규정 | score=0.0573535
e00199 j00015 주계약((간편)신한통합건강보장보험 원(ONE) | # 보장한도 연간 1회한 | score=0.0492087
e24175 j05778 (간편)간병인사용입원특약 | 제2-3조 보험금 지급에 관한 세부규정 | score=0.0462761
e00171 j00009 주계약((간편)신한통합건강보장보험 원(ONE) | # 감액지급 | score=0.0440167
e24869 j05940 (간편)[30일한도형]간호간병통합서비스사용입원특약 | 제2-12조 주계약 약관 규정의 준용 | score=0.0417111
e00166 j00008 주계약((간편)신한통합건강보장보험 원(ONE) | ## 熊熊 | score=0.0401536
e23926 j05725 (간편)3대질병간병인사용입원특약 | 제2-3조 보험금 지급에 관한 세부규정 | score=0.0396021
e24147 j05777 (간편)간병인사용입원특약 | 제2-2조 보험금의 지급사유 | score=0.0390313
e24785 j05927 (간편)[30일한도형]간호간병통합서비스사용입원특약 | 제2-3조 보험금 지급에 관한 세부규정 | score=0.0362986
e23913 j05724 (간편)3대질병간병인사용입원특약 | 제2-2조 보험금의 지급사유 | score=0.0358793
e23595 j05658 (간편)3대질병간병인사용입원특약 | 제2-2조 보험금의 지급사유 | score=0.0347834
e24139 j05775 (간편)간병인사용입원특약 | 제2-1조의6 보장계약 등의 정의 | score=0.0338137
e00184 j00012 주계약((간편)신한통합건강보장보험 원(ONE) |  | score=0.0313878
e10928 j02383 (간편)요양병원암입원특약 | 제2-3조 보험금 지급에 관한 세부규정 | score=0.0308728
e24547 j05875 (간편)간병인사용입원특약 | 제2-1조의7 보장계약 등의 정의 | score=0.0285948
e24555 j05877 (간편)간병인사용입원특약 | 제2-2조 보험금의 지급사유 | score=0.027598
e24463 j05837 (간편)간호간병통합서비스사용입원특약 | 제2-12조 주계약 약관 규정의 준용 | score=0.0273133
e23617 j05659 (간편)3대질병간병인사용입원특약 | 제2-3조 보험금 지급에 관한 세부규정 | score=0.0242967
e00163 j00007 주계약((간편)신한통합건강보장보험 원(ONE) |  | score=0.0231359
e22155 j05301 (간편)[10일한도형]첫날부터입원특약 | 제2-12조 주계약 약관 규정의 준용 | score=0.0208434
e24594 j05879 (간편)간병인사용입원특약 | 제2-4조 보험금을 지급하지 않는 사유 | score=0.0198126
e01182 j00187 (간편)정기특약 | 제2-12조 주계약 약관 규정의 준용 | score=0.0172966
e11022 j02398 (간편)요양병원암입원특약 |  | score=0.016369
e18820 j04427 (간편)[질병별]신수술특약 | 제2-12조 주계약 약관 규정의 준용 | score=0.0160041
e00196 j00014 주계약((간편)신한통합건강보장보험 원(ONE) | # 보장한도 | score=0.0152111
e23737 j05674 (간편)3대질병간병인사용입원특약 | # 부표2-3 | score=0.0149254
e21845 j05221 (간편)[180일한도형]첫날부터입원특약 | 제2-12조 주계약 약관 규정의 준용 | score=0.0147425
e00140 j00006 주계약((간편)신한통합건강보장보험 원(ONE) | # 熊 | score=0.0143029
e21999 j05261 (간편)[30일한도형]첫날부터입원특약 | 제2-12조 주계약 약관 규정의 준용 | score=0.0142549
e06475 j01451 (간편)암수술특약 | 제2-12조 주계약 약관 규정의 준용 | score=0.0141983
e03704 j00803 (간편)[기본]남녀특정암진단특약 | 제2-12조 주계약 약관 규정의 준용 | score=0.013776
e22474 j05385 (간편)[30일한도형]첫날부터입원특약 | 제2-12조 주계약 약관 규정의 준용 | score=0.0134943
e24369 j05824 (간편)간호간병통합서비스사용입원특약 | 제2-3조 보험금 지급에 관한 세부규정 | score=0.0121951
e24761 j05926 (간편)[30일한도형]간호간병통합서비스사용입원특약 | 제2-2조 보험금의 지급사유 | score=0.0120482
e24109 j05766 (간편)간병인사용입원특약 | 제2-12조 주계약 약관 규정의 준용 | score=0.0119048
e24504 j05865 (간편)간병인사용입원특약 | 제2-12조 주계약 약관 규정의 준용 | score=0.0117647
e24076 j05740 (간편)3대질병간병인사용입원특약 |  | score=0.0116279
e24534 j05871 (간편)간병인사용입원특약 | 제2-1조의3 개별 용어의 정의 | score=0.0113636
e24126 j05771 (간편)간병인사용입원특약 | 제2-1조의2 개별 용어의 정의 | score=0.011236
e23493 j05645 (간편)3대질병간병인사용입원특약 | 제2-1조의3 개별 용어의 정의 | score=0.0111111
e24347 j05823 (간편)간호간병통합서비스사용입원특약 | 제2-2조 보험금의 지급사유 | score=0.010989
e23812 j05711 (간편)3대질병간병인사용입원특약 | 제2-1조의2 개별 용어의 정의 | score=0.0108696
e24605 j05880 (간편)간병인사용입원특약 | 제2-5조 사고증명서 | score=0.0105263
e24488 j05852 (간편)간병인사용입원특약 | 제2-4조 보험금을 지급하지 않는 사유 | score=0.0104167
